seed,arch,dataset,BFMP_AUROC,BFMP_AUPR,FHR_MAE,FHR_RMSE,FHR_R2,MCD_AUROC,MCD_AUPR,ODIN_AUROC,ODIN_AUPR,AE_AUROC,AE_AUPR,ABL_ESS,ABL_ADD,ABL_ODD,ABL_NAIVE,ABL_LCFS
0,mlp,credit-g,0.6627474625665761,0.7094062877622747,2.151166932384173,2.404988107108646,-3.6608253956236254,,,,,,,0.6134838486360946,0.8069317433200459,0.6134838486360946,0.7684040688261369,0.6627474625665761
1,mlp,credit-g,0.700727177250882,0.7813934354182401,2.112260651787122,2.383289109454402,-3.4096189988502186,,,,,,,0.6127695521638374,0.7869039600908686,0.6127695521638374,0.7666354638751584,0.700727177250882
2,mlp,credit-g,0.6946882955284877,0.7598566605753971,2.0568089228868485,2.31601760045146,-3.200064619107703,,,,,,,0.6237628283427893,0.7804541147729998,0.6237628283427893,0.7514412264980193,0.6946882955284877
3,mlp,credit-g,0.6597959000179824,0.719746282055028,2.246908871928851,2.4702259957607304,-3.959376194840778,,,,,,,0.6286751483546125,0.8011261463765511,0.6286751483546125,0.7601656626506025,0.6597959000179824
4,mlp,credit-g,0.69921875,0.7636863010523455,2.107949204246203,2.3479210741630947,-3.3045903131398964,,,,,,,0.6498455668604651,0.7920943859011628,0.6498455668604651,0.7710812590843024,0.69921875
