seed,arch,dataset,BFMP_AUROC,BFMP_AUPR,FHR_MAE,FHR_RMSE,FHR_R2,MCD_AUROC,MCD_AUPR,ODIN_AUROC,ODIN_AUPR,AE_AUROC,AE_AUPR,ABL_ESS,ABL_ADD,ABL_ODD,ABL_NAIVE,ABL_LCFS
0,vit,cifar10c,0.5949272260273972,0.9810898359430095,0.3985513519495726,0.49249203655743584,-0.41647891418624106,0.6236074942129629,0.9738610255496469,0.6247739438657409,0.9728733483231364,0.5836588541666667,0.974038184743704,0.5952482876712328,0.6100171232876712,0.5873287671232877,0.6048801369863014,0.5949272260273972
1,vit,cifar10c,0.5740677966101695,0.9886562445975773,0.33794874218602977,0.44778570669350204,-0.3864538660656047,0.56951871657754,0.9775201185525944,0.5644233679749773,0.978280827589453,0.537180910099889,0.9681612671373356,0.558135593220339,0.6135593220338983,0.5876271186440678,0.6462711864406779,0.5740677966101695
2,vit,cifar10c,0.579804341999464,0.9673363601091383,0.4179210093120734,0.56368097265646,-0.1579308999086475,0.6218898082265036,0.9673446144660169,0.6072208440410582,0.9656039071613731,0.5980629539951573,0.964739068502197,0.5915304207987134,0.5445590994371482,0.555883141248995,0.5889841865451622,0.579804341999464
3,vit,cifar10c,0.5435274934323762,0.9674925411661496,0.4456734280039867,0.5522370590965087,-0.3447944854572187,0.5780706629614927,0.9599133324013671,0.5434855101230647,0.9564212910470586,0.5614291385470425,0.9622033043897147,0.5342875260440257,0.6265966120119576,0.5904520336987046,0.632892472144216,0.5435274934323762
4,vit,cifar10c,0.5622260869565218,0.9671629245911917,0.48781916171312334,0.580571503503837,-0.2049928246777959,0.5146074074074074,0.9398783112810867,0.5232414814814815,0.9405122300064122,0.5574281481481482,0.9494144272529635,0.5270956521739131,0.4160695652173913,0.5407304347826086,0.46163478260869567,0.5622260869565218
