seed,arch,corruption,gate,BFMP_AUROC,BFMP_AUPR,FHR_MAE,FHR_RMSE,FHR_R2,MCD_AUROC,DE_AUROC,ODIN_AUROC,AE_AUROC,ABL_ESS,ABL_ADD,ABL_ODD,ABL_NAIVE,ABL_LCFS
0,cnn,gaussian_noise,ODD,0.7376485461441213,0.9583663162551845,0.4175449299812317,0.5769563084769279,0.08880828582927824,0.483590391908976,0.5105436156763591,0.5232111251580278,0.48192161820480406,0.5916055625790139,0.8311504424778762,0.5858912768647282,0.6507964601769911,0.7376485461441213
1,cnn,gaussian_noise,ODD,0.791371158392435,0.9808292330691312,0.43275141971806685,0.5949094672554857,0.045466187768307575,0.43607171000788025,0.52201536643026,0.5491282505910164,0.5670311268715524,0.49532111899133174,0.8288022064617808,0.49418833727344363,0.5834564617809299,0.791371158392435
2,cnn,gaussian_noise,ODD,0.7522535291116277,0.9760424628099671,0.4696228780845801,0.5838616499370993,-0.08435602788794205,0.5919269799875276,0.5083054594931685,0.5604059187028744,0.37870627586597877,0.6761721186008277,0.8122342536424968,0.6781563580701853,0.7288678496513408,0.7522535291116277
3,cnn,gaussian_noise,ODD,0.8025984099282528,0.9845384133129143,0.40262604840099814,0.5611178409862719,-0.04317445267922837,0.6267855988623877,0.5964061793032125,0.6051645013250597,0.5897485618253506,0.6629177170189386,0.8920561049705902,0.6674746299528149,0.7579341994699762,0.8025984099282528
4,cnn,gaussian_noise,ODD,0.809042809042809,0.9863455780509373,0.5430173319081465,0.661635424559706,-0.19957462692010575,0.5063331729998397,0.5312917535139758,0.4937202714980493,0.5302763080540858,0.5984180428624873,0.8146544813211479,0.5892790337234781,0.6786916786916787,0.809042809042809
0,cnn,shot_noise,ODD,0.709008695652174,0.9769538618923129,0.40140286485354104,0.5400853698488063,-0.025520473660102683,0.49676521739130436,0.4992695652173913,0.5975652173913044,0.5236869565217391,0.5570086956521739,0.850295652173913,0.5554782608695652,0.6685565217391305,0.709008695652174
1,cnn,shot_noise,ODD,0.7140407399709001,0.9752991070757636,0.42126295797526836,0.5872582174418616,0.0047855566442162045,0.4568177094159218,0.5798170858449387,0.5636042402826855,0.5880274371232593,0.5247869465807524,0.80513406776138,0.5157451673248805,0.6047859072957805,0.7140407399709001
2,cnn,shot_noise,ODD,0.758432364096081,0.9748950078601826,0.518969697256883,0.6530345546683755,-0.08519404438176337,0.5640960809102401,0.5335018963337548,0.6028065739570165,0.4892541087231353,0.6490518331226296,0.8215423514538558,0.6566371681415929,0.7322629582806575,0.758432364096081
3,cnn,shot_noise,ODD,0.7982819682013413,0.9870942401231346,0.3971204342196385,0.5452694356052872,-0.1300598913162616,0.6324316178132771,0.49287921030819076,0.5406525506744029,0.5550448346017632,0.7022831738376911,0.8635370356416245,0.7117775600934367,0.7738301559792027,0.7982819682013413
4,cnn,shot_noise,ODD,0.7303350244526714,0.9681483974643248,0.6195282011727492,0.7300432693741201,-0.3625351029502577,0.5009369715252068,0.4649207002148179,0.5559669089080855,0.5195849901732255,0.5731980437862791,0.7598153480506422,0.5687874217285982,0.6242972713560949,0.7303350244526714
0,cnn,impulse_noise,ODD,0.682890569452524,0.9671567732657926,0.41548150467375916,0.5518643484174964,-0.062439757931862294,0.5064960248206322,0.5423049576627238,0.5838019520392994,0.6044211751018034,0.565186477926443,0.824575011311486,0.5605326093982289,0.6415551677331783,0.682890569452524
1,cnn,impulse_noise,ODD,0.8262544014084506,0.9879921213529954,0.3668098979940017,0.5507573109130993,0.10748500961396112,0.4778279049295775,0.5044014084507042,0.5401078345070423,0.5966659330985916,0.5647007042253521,0.827024647887324,0.545499559859155,0.619140625,0.8262544014084506
2,cnn,impulse_noise,ODD,0.8130511463844796,0.9831481287547466,0.4650413504242897,0.5945478791274004,0.03757725521115407,0.5346053123830902,0.4239752017529795,0.5378654267543157,0.4423066645288867,0.6761263427930094,0.8811394366949921,0.6613756613756614,0.7427449094115761,0.8130511463844796
