seed,corruption,LCFS_ACD_AUROC,LCFS_ODD_AUROC,ACD_alone,ODD_alone,ESS_alone,ADD_alone
0,gaussian_noise,0.6101241438356164,0.6186857876712328,0.4629708904109589,0.6602097602739726,0.6471532534246576,0.5242936643835617
1,gaussian_noise,0.4134897360703812,0.4496064207439419,0.4823275196789628,0.4534650409013737,0.462880074085507,0.6045686062663992
2,gaussian_noise,0.5546434782608696,0.5856695652173912,0.5576347826086956,0.5461565217391304,0.5584,0.5751652173913043
3,gaussian_noise,0.48959526536846126,0.5190912562046582,0.558323787705231,0.5184230622374952,0.5284459717449408,0.6348797250859106
4,gaussian_noise,0.5756743256743256,0.5411463536463537,0.5869130869130869,0.5467032967032966,0.5598151848151848,0.5877247752247753
0,shot_noise,0.5412061275935622,0.5908473918945123,0.6136642750953396,0.548316204511667,0.5622131730334174,0.5830909443474889
1,shot_noise,0.4550513698630137,0.509845890410959,0.38527397260273977,0.5517979452054794,0.5439854452054794,0.6398758561643836
2,shot_noise,0.6186421520608847,0.6139703112048829,0.4405093813578479,0.6756084695953583,0.6649084469896767,0.5976942204807476
3,shot_noise,0.5408818493150686,0.6279965753424658,0.6702696917808219,0.6658818493150684,0.6608518835616439,0.5904323630136986
4,shot_noise,0.5653565217391304,0.629704347826087,0.5109565217391304,0.5435130434782609,0.5723826086956522,0.5442782608695652
0,fog,0.5314051164566629,0.5113592974417717,0.39814814814814814,0.4070255822833143,0.4183848797250859,0.4871134020618557
1,fog,0.4681666834829987,0.4917768136414085,0.6723842195540308,0.4627181919079811,0.458177782262133,0.5339521743517304
2,fog,0.5421468775127312,0.44023050120611096,0.3229697132136156,0.671602787456446,0.6441972661484856,0.5217099973197534
3,fog,0.40269951513563096,0.41776962390250294,0.4597038396016249,0.46586292753243347,0.45184117415803954,0.6338618791770411
4,fog,0.6421885379551905,0.6504015942991727,0.6088531916178512,0.6630835195362039,0.6752219336916481,0.5761821366024519
0,brightness,0.5781961940498525,0.6216831948539265,0.441704636826588,0.4527606539801662,0.4363441436612168,0.377177700348432
1,brightness,0.5485387731481481,0.5835503472222221,0.48625578703703703,0.6040943287037036,0.6040943287037037,0.537109375
2,brightness,0.5872241922773836,0.64701536643026,0.41582939322301027,0.6210598896769111,0.6166272655634357,0.5299940898345155
3,brightness,0.5342881944444444,0.5465133101851851,0.3755787037037037,0.5460792824074073,0.5399305555555556,0.5164930555555556
4,brightness,0.5604863853668677,0.5875077946372895,0.4932446476823945,0.5606942423612554,0.5938993972147162,0.4961546456038246
0,contrast,0.47678439820851526,0.6048528828164863,0.39032824990078796,0.5545098928510687,0.5397698282215545,0.528091161630478
1,contrast,0.5135575819795882,0.6033576906818044,0.44453167461803245,0.6111480161845522,0.5891660124403647,0.48740865994323335
2,contrast,0.4101865212976324,0.4925444925444925,0.3926032814921704,0.5167548500881834,0.48271070493292717,0.40371973705307035
3,contrast,0.44354782608695653,0.4735304347826087,0.34066086956521746,0.5111652173913044,0.5030260869565217,0.6429217391304347
4,contrast,0.6967812065946011,0.6862733256839182,0.4619844193489945,0.7072890875052843,0.6838577208768646,0.6168850776013044
